name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD123,nugent-sn2n,-14.655695609407687,3790.5697228647696,0.010000000164041827,58183.908973460886,3.2956456970912734e-08,0.03,3.1
SNAD123,nugent-sn91bg,-20.435255023748383,4955.336630456412,0.13163251833374598,58191.24247016008,4.750979269597255e-08,0.03,3.1
SNAD123,nugent-hyper,-15.718333594164378,5215.288736868616,0.016236465900261718,58190.72949229039,3.9258839422419545e-08,0.03,3.1
SNAD123,nugent-sn1bc,-14.65569557402577,6773.5101033928195,0.010000000002323475,58187.218690093396,3.81383878647538e-08,0.03,3.1
SNAD123,nugent-sn2p,-20.22434994085168,23128.65803861696,0.12031498345076679,58192.17925791803,2.427256319724429e-08,0.03,3.1
SNAD124,nugent-sn2l,-19.847827378867887,6307.312048249365,0.09389829316777003,58196.59942185219,4.632386037488856e-08,0.03,3.1
SNAD124,nugent-sn1a,-22.582471179511014,8009.174713642335,0.2943286941259394,58188.94184111659,2.3664733237755866e-08,0.03,3.1
SNAD124,nugent-sn2n,-14.855095967570453,8347.111353672826,0.010000001801078772,58196.54243386837,2.6801718683643392e-08,0.03,3.1
SNAD124,nugent-sn91bg,-19.894810361120914,8662.07831764315,0.0958285626139845,58195.4648008914,4.233602235496585e-08,0.03,3.1
SNAD124,nugent-sn91t,-22.62551062375515,8878.853130239095,0.29944436824638143,58184.59566033375,1.9833855864265046e-08,0.03,3.1
SNAD124,nugent-sn2p,-20.263852554753928,13221.500722928657,0.11235134856317153,58194.70589837002,2.620871827681931e-08,0.03,3.1
SNAD124,nugent-sn1bc,-21.36207536807974,13549.762206468042,0.1787725273183812,58191.788029655494,2.9599157093385372e-08,0.03,3.1
SNAD124,nugent-hyper,-20.743924384196486,13605.820219435149,0.1378814975214179,58194.52558123972,3.260702910123189e-08,0.03,3.1
SNAD125,nugent-sn1a,-21.36798148037115,7000.553341404853,0.29999999930092897,58258.92745200039,7.122483196959952e-09,0.01,3.1
SNAD125,nugent-hyper,-18.25930662214546,10360.152635708379,0.08147480403347586,58067.75106236012,1.2000409301983172e-08,0.01,3.1
SNAD125,nugent-sn1bc,-21.19865805980831,10892.93490582779,0.28030095851058673,59940.94964407327,3.770956297216535e-09,0.01,3.1
SNAD125,nugent-sn2l,-15.633824748191046,10907.505457701858,0.025305498488214083,58982.015915313124,-3.1638124007303874e-10,0.01,3.1
SNAD125,nugent-sn2p,-19.38262720692326,10908.27507798339,0.13220077651352358,58992.88843361512,2.1650503671783492e-10,0.01,3.1
SNAD125,nugent-sn91t,-13.593017877076555,10908.705951901782,0.010000389900289225,58970.30370585517,-2.544228604672365e-10,0.01,3.1
SNAD125,nugent-sn91bg,-19.710862575801166,10908.793601181183,0.15189491033585184,58990.683898611285,2.9910081701621825e-10,0.01,3.1
SNAD125,nugent-sn2n,-13.59301261865226,10909.570350355183,0.010000365864968743,58977.22330917344,-1.855634046356331e-10,0.01,3.1
SNAD127,nugent-sn2p,-13.806556105812547,1459.495067667778,0.010000002432935164,58161.25947454565,1.6319535502394922e-08,0.01,3.1
SNAD127,nugent-sn2n,-21.58160448559277,2380.9677886526733,0.2999999999275712,58190.588508745815,6.221023410295885e-09,0.01,3.1
SNAD127,nugent-sn2l,-21.581604463031546,2646.7338720382,0.29999999722001847,58188.62592481306,1.7032674245842346e-08,0.01,3.1
SNAD127,nugent-sn91t,-21.302829570845383,2915.1115551107887,0.26820832817845947,58187.29580316663,7.0896184837838505e-09,0.01,3.1
SNAD127,nugent-sn91bg,-20.98560312066916,3126.111075425272,0.23581994155054725,58189.302463233944,1.878031571117852e-08,0.01,3.1
SNAD127,nugent-hyper,-19.970046163359797,3214.21130682989,0.1548356073095216,58190.34481974332,1.1995502800702115e-08,0.01,3.1
SNAD127,nugent-sn1a,-21.154523467157894,3281.6760146029405,0.2525882846951703,58190.737727804946,8.151863413459724e-09,0.01,3.1
SNAD127,nugent-sn1bc,-19.885049631457882,3807.910933015696,0.14939166611208532,58188.377695999465,1.0202938629614165e-08,0.01,3.1
SNAD128,nugent-sn2n,-21.766092365807676,5086.415550475948,0.29999998555226826,58275.83577832995,4.373470487918575e-09,0.01,3.1
SNAD128,nugent-sn1a,-21.766092081629868,5102.372020948648,0.2999999514483444,58271.279535580055,6.025269725830569e-09,0.01,3.1
SNAD128,nugent-sn91t,-21.766092485275426,5225.301481623993,0.2999999998894862,58267.971017699834,5.14757756838444e-09,0.01,3.1
SNAD128,nugent-sn2p,-19.479484433013372,5298.95298629378,0.11625579875393437,58277.765167349484,7.25072807015956e-09,0.01,3.1
SNAD128,nugent-sn2l,-19.74789552603102,5478.765786655438,0.13036765815577303,58278.72499853838,9.902898144941727e-09,0.01,3.1
SNAD128,nugent-hyper,-16.79567729586631,5497.493045310843,0.03569900917897727,58278.9400295547,8.905011922141525e-09,0.01,3.1
SNAD128,nugent-sn1bc,-20.414851885636313,5640.594933989723,0.17268004369293577,58274.964684799124,7.289716291956032e-09,0.01,3.1
SNAD128,nugent-sn91bg,-19.844149816052234,5654.948319729195,0.1358086382583016,58279.655196598884,9.315031383201452e-09,0.01,3.1
SNAD129,nugent-sn2l,-17.517284186064018,1258.5945636123583,0.057645581712045035,58190.06043592702,1.766846186390426e-08,0.02,3.1
SNAD129,nugent-sn2n,-14.198360250147438,1355.0790841449116,0.012915667848748959,58180.014672615216,1.3463041231268876e-08,0.02,3.1
SNAD129,nugent-sn91bg,-19.384197719593494,1496.543376874629,0.12977787610241026,58189.97971574279,1.7444587340286843e-08,0.02,3.1
SNAD129,nugent-sn1a,-20.405054332258914,1741.2196205717876,0.19913324379258565,58181.89732838182,9.656406913169598e-09,0.02,3.1
SNAD129,nugent-sn91t,-20.370810652227966,1916.2872571081732,0.19633477688999407,58177.642108423446,8.249670412933007e-09,0.02,3.1
SNAD129,nugent-hyper,-15.281681642915963,2093.616805682195,0.021140316746692513,58189.06591589114,1.3391249332470347e-08,0.02,3.1
SNAD129,nugent-sn1bc,-15.050561841656908,2539.1050179496856,0.019035644671493823,58186.892972392525,1.209424261547213e-08,0.02,3.1
SNAD129,nugent-sn2p,-19.19675790030481,3254.677483351033,0.11980682626793014,58191.0989504803,8.471640100349627e-09,0.02,3.1
